Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
4GWF8WHE,forumPost,2023,Texans for Abbott [@AbbottCampaign],"President Biden refuses to secure the border. Governor @GregAbbott_TX isn’t waiting for him to do his job. Through #OperationLoneStar, Texas is working to stop the flow of deadly drugs, weapons, & people into our country. https://t.co/64SQw8Y7V5",Twitter,,,,https://twitter.com/AbbottCampaign/status/1611792712260374530,,1/7/2023,3/21/2023 19:23,3/21/2023 19:23,3/21/2023 19:23,,,,,,,,,,,,,,en,,Tweet,,,,,,,; C:\Users\bhjon\Zotero\storage\TAM3WUDM\1611792712260374530.html,https://t.co/64SQw8Y7V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NKEMQFAL,forumPost,2023,Texans for Abbott [@AbbottCampaign],"Governor @GregAbbott_TX's #OperationLoneStar continues to secure the border in Biden's absence. ▪️ Over 23,000 criminal arrests made ▪️ Over 355 million deadly doses of fentanyl seized ▪️ Over 16,300 migrants bused to sanctuary cities https://t.co/F71U3rukw4",Twitter,,,,https://twitter.com/AbbottCampaign/status/1611466166114852906,,1/6/2023,3/21/2023 19:23,3/21/2023 19:23,3/21/2023 19:23,,,,,,,,,,,,,,en,,Tweet,,,,,,,; C:\Users\bhjon\Zotero\storage\AJUYCDHN\1611466166114852906.html,https://t.co/F71U3rukw4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZRSZ9ZA,forumPost,2022,Texans for Abbott [@AbbottCampaign],Governor @GregAbbott_TX’s #OperationLoneStar continues to fill the gaps left by Biden’s open border policies. - Over 336K apprehensions - Over 23K criminal arrest - Over 354M deadly fentanyl doses seized Read more: https://t.co/jR0woapWbl,Twitter,,,,https://twitter.com/AbbottCampaign/status/1608622944850423808,,12/30/2022,3/21/2023 19:24,3/21/2023 19:24,3/21/2023 19:24,,,,,,,,,,,,,,en,,Tweet,,,,,,,; C:\Users\bhjon\Zotero\storage\ADJSYS99\1608622944850423808.html,https://t.co/jR0woapWbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5CMSUG3,forumPost,2022,Texans for Abbott [@AbbottCampaign],"#OperationLoneStar by the numbers: ➡️ Over 22K criminal arrests ➡️ Over 354 million fentanyl doses seized ➡️ Over 14K migrants bused to sanctuary cities Under Governor @GregAbbott_TX, Texas is securing the border in Biden's absence. https://t.co/ZqGX6Ln7GC",Twitter,,,,https://twitter.com/AbbottCampaign/status/1601335354308841473,,12/9/2022,3/21/2023 19:24,3/21/2023 19:24,3/21/2023 19:24,,,,,,,,,,,,,,en,,Tweet,,,,,,,; C:\Users\bhjon\Zotero\storage\PT5GTPTW\1601335354308841473.html,https://t.co/ZqGX6Ln7GC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILDRK3T3,forumPost,2022,Texans for Abbott [@AbbottCampaign],"Since Gov. @GregAbbott_TX launched #OperationLoneStar, Texas National Guard & @TxDPS have: ▪️ Made over 22.1K arrests ▪️ Seized over 353M lethal fentanyl doses ▪️ Bused over 13.9K migrants to sanctuary cities Texas is securing our border. https://t.co/gTV1cpZL80",Twitter,,,,https://twitter.com/AbbottCampaign/status/1599803186109218823,,12/5/2022,3/21/2023 19:24,3/21/2023 19:24,3/21/2023 19:24,,,,,,,,,,,,,,en,,Tweet,,,,,,,; C:\Users\bhjon\Zotero\storage\4AEWA237\1599803186109218823.html,https://t.co/gTV1cpZL80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6JQ2TTRG,forumPost,2022,Texans for Abbott [@AbbottCampaign],"Under Gov. @GregAbbott_TX, Texas is taking unprecedented action to secure the border. Since #OperationLoneStar launched, Texas has made over 21.6K arrests, seized over 350M lethal fentanyl doses, & bused over 12,000 migrants to sanctuary cities. https://t.co/ZOvW5vOsX6",Twitter,,,,https://twitter.com/AbbottCampaign/status/1592210912731336704,,11/14/2022,3/21/2023 19:24,3/21/2023 19:24,3/21/2023 19:24,,,,,,,,,,,,,,en,,Tweet,,,,,,,; C:\Users\bhjon\Zotero\storage\A9HFEPGH\1592210912731336704.html,https://t.co/ZOvW5vOsX6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YXEHR5YB,forumPost,2022,Texans for Abbott [@AbbottCampaign],"Gov. @GregAbbott_TX’s #OperationLoneStar is securing the border & protecting America in Biden’s absence. Since March 2021, Texas has: ➡️ Seized over 342M lethal doses of fentanyl ➡️ Made over 21K arrests ➡️ Bused over 12,600 migrants to sanctuary cities https://t.co/tPYBFnofjP",Twitter,,,,https://twitter.com/AbbottCampaign/status/1583972874745917441,,10/23/2022,3/21/2023 19:25,3/21/2023 19:25,3/21/2023 19:25,,,,,,,,,,,,,,en,,Tweet,,,,,,,; C:\Users\bhjon\Zotero\storage\WJHJPAFG\1583972874745917441.html,https://t.co/tPYBFnofjP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARY823VH,forumPost,2022,Texans for Abbott [@AbbottCampaign],"In Biden’s absence, Gov. @GregAbbott_TX & Texas are securing the border. #OperationLoneStar has led to more than: • 308,700 apprehensions • 336M deadly fentanyl doses seized • 11,870 migrants bused to DC, NYC, & Chicago https://t.co/jko6dNmcdl",Twitter,,,,https://twitter.com/AbbottCampaign/status/1575967884912005120,,9/30/2022,3/21/2023 19:25,3/21/2023 19:25,3/21/2023 19:25,,,,,,,,,,,,,,en,,Tweet,,,,,,,; C:\Users\bhjon\Zotero\storage\FYQHUR33\1575967884912005120.html,https://t.co/jko6dNmcdl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W3BQJFI2,forumPost,2022,Texans for Abbott [@AbbottCampaign],"Through #OperationLoneStar, Texas continues to fill in the gaps left by Biden's refusal to secure the border: - Over 19.4K criminal arrests - Over 335M lethal fentanyl doses seized - Over 7,600 migrants bussed to DC, over 1,900 to NYC, & 95 to Chicago https://t.co/WvppOYK6Sh",Twitter,,,,https://twitter.com/AbbottCampaign/status/1565792930417152002,,9/2/2022,3/21/2023 19:25,3/21/2023 19:25,3/21/2023 19:25,,,,,,,,,,,,,,en,,Tweet,,,,,,,; C:\Users\bhjon\Zotero\storage\QNG2TNIX\1565792930417152002.html,https://t.co/WvppOYK6Sh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6P32AVAC,forumPost,2022,Texans for Abbott [@AbbottCampaign],"Under Gov. @GregAbbott_TX, #OperationLoneStar continues to secure the border. - Over 19,000 arrests - Over 335.5M lethal drug doses seized - Over 7,400 migrants bussed to DC & over 1,500 to NYC Texas is protecting our communities. https://t.co/EaMROWCtw4",Twitter,,,,https://twitter.com/AbbottCampaign/status/1563510228397670401,,8/27/2022,3/21/2023 19:26,3/21/2023 19:26,3/21/2023 19:26,,,,,,,,,,,,,,en,,Tweet,,,,,,,; C:\Users\bhjon\Zotero\storage\QUEVBQKB\1563510228397670401.html,https://t.co/EaMROWCtw4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAJ44NA6,forumPost,2022,Texans for Abbott [@AbbottCampaign],Governor @GregAbbott_TX is doing Biden’s job of securing the border. Texas DPS & Texas National Guard continue to work together through #OperationLoneStar to combat record numbers of illegal immigrants & criminal activity. https://t.co/W2V6t5uT4g,Twitter,,,,https://twitter.com/AbbottCampaign/status/1553127244868075520,,7/29/2022,3/21/2023 19:26,3/21/2023 19:26,3/21/2023 19:26,,,,,,,,,,,,,,en,,Tweet,,,,,,,; C:\Users\bhjon\Zotero\storage\QWNSP2VB\1553127244868075520.html,https://t.co/W2V6t5uT4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIRRALDB,forumPost,2022,Texans for Abbott [@AbbottCampaign],"“Texas is spending $4B as part of #OperationLoneStar. This is a huge investment. Gov. @GregAbbott_TX & I would both prefer spending those dollars in other ways. Unfortunately... the federal government refuses to do its job, forcing Texas to stand up.” - @SenJaneNelson in Dallas",Twitter,,,,https://twitter.com/AbbottCampaign/status/1548342572917018625,,7/16/2022,3/21/2023 19:26,3/21/2023 19:26,3/21/2023 19:26,,,,,,,,,,,,,,en,,Tweet,,,,,,,C:\Users\bhjon\Zotero\storage\JT646W5C\1548342572917018625.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8CNZBJMR,forumPost,2022,Texans for Abbott [@AbbottCampaign],"Gov. @GregAbbott_TX is doing Biden’s job of securing the border. #OperationLoneStar has stopped drugs, weapons, & illegal immigrants from coming into Texas. The multi-agency border security mission has also seized record amounts of fentanyl. Read more: https://t.co/VVpjpte47V",Twitter,,,,https://twitter.com/AbbottCampaign/status/1542998986117640192,,7/1/2022,3/21/2023 19:28,3/21/2023 19:28,3/21/2023 19:28,,,,,,,,,,,,,,en,,Tweet,,,,,,,; C:\Users\bhjon\Zotero\storage\PCC89TLV\1542998986117640192.html,https://t.co/VVpjpte47V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446IMG9T,forumPost,2022,Texans for Abbott [@AbbottCampaign],"Gov. @GregAbbott_TX’s #OperationLoneStar is filling in the gaps left by Biden's refusal to secure the border. This effort continues to stop the smuggling of drugs, weapons, & people into Texas, turning back 22,000 migrants from crossing the border. More: https://t.co/ZdXuXoy9oC",Twitter,,,,https://twitter.com/AbbottCampaign/status/1540421529577689090,,6/24/2022,3/21/2023 19:28,3/21/2023 19:28,3/21/2023 19:28,,,,,,,,,,,,,,en,,Tweet,,,,,,,; C:\Users\bhjon\Zotero\storage\9ZBB5Z2J\1540421529577689090.html,https://t.co/ZdXuXoy9oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8CA6JULJ,forumPost,2022,Texans for Abbott [@AbbottCampaign],"Last night @KGNSnews in Laredo did a feature on the successes of #OperationLoneStar. As the clip clearly shows, our southern border remains a problem, despite what delusional Beto O’Rourke would like for you to believe. CLICK HERE TO WATCH ⬇️",Twitter,,,,https://twitter.com/AbbottCampaign/status/1511419151490986000,,4/5/2022,3/21/2023 19:29,3/21/2023 19:29,3/21/2023 19:29,,,,,,,,,,,,,,en,,Tweet,,,,,,,C:\Users\bhjon\Zotero\storage\XCNNAJZT\1511419151490986000.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDUU5RJ7,forumPost,2022,Texans for Abbott [@AbbottCampaign],"Under Gov. @GregAbbott_TX, Texas continues to take action to secure the border. #OperationLoneStar has led to more than 290,700 migrant apprehensions, 18,000 arrests, 325.9M lethal doses of drugs seized, and over 6,500 migrants bussed to DC--and now NYC. https://t.co/30aO4RKRKL",Twitter,,,,https://twitter.com/AbbottCampaign/status/1555672638390935553,,8/5/2022,3/21/2023 19:34,3/21/2023 19:34,3/21/2023 19:34,,,,,,,,,,,,,,en,,Tweet,,,,,,,; C:\Users\bhjon\Zotero\storage\SSN4758E\1555672638390935553.html,https://t.co/30aO4RKRKL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D7KF9JJE,forumPost,2022,Texans for Abbott [@AbbottCampaign],"Gov. @GregAbbott_TX’s #OperationLoneStar is securing the border in Biden’s absence. Texas National Guard & @TxDPS have made more than 20,500 arrests, seized over 337 million lethal doses of fentanyl, & bused over 12,000 migrants to NYC, DC, & Chicago. https://t.co/n1NoBUxhmw",Twitter,,,,https://twitter.com/AbbottCampaign/status/1578472009503502337,,10/7/2022,3/21/2023 19:34,3/21/2023 19:34,3/21/2023 19:34,,,,,,,,,,,,,,en,,Tweet,,,,,,,; C:\Users\bhjon\Zotero\storage\HMCL8DEZ\1578472009503502337.html,https://t.co/n1NoBUxhmw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YGPWU25B,forumPost,2022,Texans for Abbott [@AbbottCampaign],"Gov. @GregAbbott_TX’s #OperationLoneStar is filling the dangerous gaps left by Biden's refusal to secure the border: ➡️ Over 20.8K criminal arrests ➡️ Over 337M lethal fentanyl doses seized ➡️ Over 12,500 migrants bused to DC, NYC, & Chicago https://t.co/tOGnwVXwGD",Twitter,,,,https://twitter.com/AbbottCampaign/status/1581688253786124289,,10/16/2022,3/21/2023 19:35,3/21/2023 19:35,3/21/2023 19:35,,,,,,,,,,,,,,en,,Tweet,,,,,,,; C:\Users\bhjon\Zotero\storage\795NYCXK\1581688253786124289.html,https://t.co/tOGnwVXwGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
